Comment,Designator,Footprint,LCSC Part #
ADM823,U6,SC-70-5,
CAPACITOR_0603_10V_0.1UF,C11 C12 C13 C14 C15 C16 C20 C22 C23 C24 C25 C26 C27 C29 C30 C31 C35 C36 C39 C40 C47 C48 C51 C52,0603-CAP,
CAPACITOR_0603_10V_1UF,C9 C32,0603-CAP,
CAPACITOR_0603_10V_4.7UF,C10,0603-CAP,
CAPACITOR_0603_10V_10NF,C33,0603-CAP,
CAPACITOR_0603_10V_15PF,C34,0603-CAP,
CAPACITOR_0603_10V_680PF,C43 C45 C49 C53,0603-CAP,
CAPACITOR_0603_25V_0.1UF,C8 C28 C37 C46 C50,0603-CAP,
CAPACITOR_0603_25V_10UF,C1 C2,0603-CAP,
LED_0603_BLUE,5V,0603-LED,
LED_0603_GREEN,3.3V AMS_OK D2 D10,0603-LED,
LED_0603_ORANGE,IMD_OK,0603-LED,
LED_0603_RED,12V D3 D6 D14,0603-LED,
LED_0603_YELLOW,D11,0603-LED,
LOGICGATE_AND_DCK3,U8 U11 U15,SC-70-5,
LTC6820,U5,MSOP-16,
MAX7404,U19,SOIC-08(NARROW 0.15"),
MAX7404,U26,SOIC-08(NARROW 0.15"),
MAX7404,U28,SOIC-08(NARROW 0.15"),
MAX7404,U30,SOIC-08(NARROW 0.15"),
OPAMP_1_CHANNEL_OPA991,U4 U7 U9 U10 U12 U13 U14 U18 U20 U22 U27 U29,SC-70-5,
RELAY_SOLIDSTATE_NO,U$2 U1 U16,DIP-4,
RESISTOR_0603_1.4K,R11,0603-RES,
RESISTOR_0603_1K,R1 R2 R7 R8 R10 R31 R47 R50 R59 R70 R71,0603-RES,
RESISTOR_0603_2.2K,R46,0603-RES,
RESISTOR_0603_2K,R34 R56 R72 R73 R74,0603-RES,
RESISTOR_0603_4.12K,R5 R17,0603-RES,
RESISTOR_0603_10,R21 R49,0603-RES,
RESISTOR_0603_10.2K,R16 R19,0603-RES,
RESISTOR_0603_10.5K,R35 R36 R37 R38,0603-RES,
RESISTOR_0603_10K,R9 R12 R48 R54 R55 R58 R61 R62 R64 R66 R68 R77 R78 R79 R80 R81 R82 R84 R85 R86 R87,0603-RES,
RESISTOR_0603_11.3K,R42,0603-RES,
RESISTOR_0603_11.5K,R20 R25 R26 R27 R28 R29 R33,0603-RES,
RESISTOR_0603_12K,R15 R45 R52 R63 R65 R67 R69,0603-RES,
RESISTOR_0603_30K,R51,0603-RES,
RESISTOR_0603_43K,R14 R44,0603-RES,
RESISTOR_0603_60.4,R53 R83,0603-RES,
RESISTOR_0603_84.5K,R24,0603-RES,
RESISTOR_0603_100K,R13,0603-RES,
RESISTOR_0603_215K,R41,0603-RES,
RESISTOR_0603_470,R57 R75 R76,0603-RES,
RESISTOR_0603_DNP,R4 R18 R22 R32 R40,0603-RES,
RESISTOR_NETWORK_4_100,RN1,1206-RES-ARRAY,
SCHOTTKY,D5 D9 D12,CLP1608-2L,
TCAN1051HQV-Q1,U25,SOIC-08(NARROW 0.15"),
TEST_POINT,BSPD_CURRENT CURRENT_REF CURRENT_SENSE PACK+_OUT_TEST TP6 TP7 TP_3.3V TP_5V TP_12V TP_AMS_OK TP_GND TP_IMD_OK TP_TSAL_GREEN TP_TSAL_RED TS+_OUT_TEST WATCHDOG_OK,MICRO_MINIATURE,
TRANSFORMER_HM2112ZNLT_AIRGAP,T1,HM2112ZNLT_AIRGAP,
TRANSISTOR_N_MOS__PMV15ENEA,Q1 Q2,SOT-23,
TVS_8V,D4 D13,SOT-23,
TVS_15V,D1,SOT-23,
VOLTAGE_REGULATOR_SOT223_3.3V,U17,SOT223,
